lighting_reading,power_reading,water_reading,gas_reading,lighting_reading_before_change,power_reading_before_change,water_reading_before_change,gas_reading_before_change,floor_id,reading_date_id,comment
0,0,2156,0,0,0,0,0,1,1,
135976,78707,827,0,0,0,0,0,2,1,
124585,53576,1011,0,0,0,0,0,3,1,
144804,60176,1020,0,0,0,0,0,4,1,
170560,67106,1048,0,0,0,0,0,5,1,
138276,54806,1021,0,0,0,0,0,6,1,
156492,65428,1200,0,0,0,0,0,7,1,
119927,47533,752,0,0,0,0,0,8,1,
129951,54300,1111,0,0,0,0,0,9,1,
142350,55517,1192,0,0,0,0,0,10,1,
71319,40370,895,0,0,0,0,0,11,1,
9552,67243,670,524,0,0,0,0,12,1,
81846,44075,561,967,0,0,0,0,13,1,
79480,36946,992,2139,0,0,0,0,14,1,
37978,17094,496,804,0,0,0,0,15,1,
38503,22393,145,1158,0,0,0,0,16,1,
28879,20020,279,627,0,0,0,0,17,1,
50136,33862,144,932,0,0,0,0,18,1,
40870,28825,337,26,0,0,0,0,19,1,
15051,58175,523,919,0,0,0,0,20,1,
39106,22620,200,1667,0,0,0,0,21,1,
0,0,2210,0,0,0,0,0,1,2,
136827,79287,834,0,0,0,0,0,2,2,
125417,54167,1018,0,0,0,0,0,3,2,
145914,61054,1030,0,0,0,0,0,4,2,
171603,67806,1054,0,0,0,0,0,5,2,
139212,55318,1027,0,0,0,0,0,6,2,
157788,66441,1208,0,0,0,0,0,7,2,
121122,48260,757,0,0,0,0,0,8,2,
130807,55178,1115,0,0,0,0,0,9,2,
143262,56264,1201,0,0,0,0,0,10,2,
71647,40627,902,0,0,0,0,0,11,2,
10621,67761,677,524,0,0,0,0,12,2,
82308,44339,564,967,0,0,0,0,13,2,
80341,37238,1013,2143,0,0,0,0,14,2,
37978,17094,496,804,0,0,0,0,15,2,
38959,22641,147,1158,0,0,0,0,16,2,
29265,20419,282,627,0,0,0,0,17,2,
50136,33862,144,932,0,0,0,0,18,2,
41374,29236,343,26,0,0,0,0,19,2,
15856,58580,529,920,0,0,0,0,20,2,
39367,22819,202,1667,0,0,0,0,21,2,
0,0,2263,0,0,0,0,0,1,3,
137685,79699,841,0,0,0,0,0,2,3,
126224,54501,1024,0,0,0,0,0,3,3,
147002,61539,1040,0,0,0,0,0,4,3,
172623,68279,1062,0,0,0,0,0,5,3,
140115,55587,1032,0,0,0,0,0,6,3,
159215,67082,1216,0,0,0,0,0,7,3,
122283,48635,761,0,0,0,0,0,8,3,
131738,55768,1120,0,0,0,0,0,9,3,
144190,56702,1210,0,0,0,0,0,10,3,
71943,40792,909,0,0,0,0,0,11,3,
11591,68142,682,525,0,0,0,0,12,3,
82796,44533,567,967,0,0,0,0,13,3,
81173,37403,1032,2147,0,0,0,0,14,3,
37982,17094,496,804,0,0,0,0,15,3,
39420,22814,148,1158,0,0,0,0,16,3,
29594,20597,284,627,0,0,0,0,17,3,
50136,33862,144,932,0,0,0,0,18,3,
41798,29483,347,26,0,0,0,0,19,3,
16663,58829,534,920,0,0,0,0,20,3,
39587,22909,204,1667,0,0,0,0,21,3,
0,0,2323,0,0,0,0,0,1,4,
138606,79954,849,0,0,0,0,0,2,4,
127088,54697,1031,0,0,0,0,0,3,4,
148167,61758,1050,0,0,0,0,0,4,4,
173727,68542,1070,0,0,0,0,0,5,4,
140999,55736,1037,0,0,0,0,0,6,4,
160709,67363,1225,0,0,0,0,0,7,4,
123444,48919,766,0,0,0,0,0,8,4,
132699,56054,1126,0,0,0,0,0,9,4,
145162,56908,1220,0,0,0,0,0,10,4,
72258,40907,916,0,0,0,0,0,11,4,
12366,68351,687,525,0,0,0,0,12,4,
83185,44569,570,967,0,0,0,0,13,4,
81873,37517,1047,2156,0,0,0,0,14,4,
37982,17094,496,804,0,0,0,0,15,4,
39823,22894,149,1158,0,0,0,0,16,4,
29886,20734,286,627,0,0,0,0,17,4,
50142,33862,144,932,0,0,0,0,18,4,
42174,29594,351,26,0,0,0,0,19,4,
